POLAR__TIMAS,CDAWEB,crdp,TIM,Polar,CDAWEB,ack_CDAWEB,1,,POLAR__TIM,POLAR,TIM,Toroidal Imaging Mass-Angle Spectrograph,Polar,TIMAS,in-situ
POLAR__UVI,CDAWEB,crdp,UVI,Polar,CDAWEB,ack_CDAWEB,1,,POLAR__UVI,POLAR,UVI,ULTRAVIOLET IMAGER,Polar,UVI,remote
POLAR__VIS,CDAWEB,crdp,VIS,Polar,CDAWEB,ack_CDAWEB,1,,POLAR__VIS,POLAR,VIS,Visible Imaging System,Polar,VIS,remote
SOHO__CELIAS,CDAWEB,crdp,CEL,SOHO,CDAWEB,ack_CDAWEB,1,,SOHO__CEL,SOHO,CEL,"Charge, Element and Isotope Analysis System",SOHO,CELIAS,in-situ
SOHO__COSTEP,CDAWEB,crdp,CST,SOHO,CDAWEB,ack_CDAWEB,1,,SOHO__COSTEP,SOHO,CST,Comprehensive Suprathermal and Energetic Particle Analyzer,SOHO,COSTEP,in-situ
SOHO__ERNE,CDAWEB,crdp,ERN,SOHO,CDAWEB,ack_CDAWEB,1,,SOHO__ERN,SOHO,ERN,Energetic and Relativistic Nuclei and Electron experiment,SOHO,ERNE,in-situ
TIMED__GUVI,CDAWEB,crdp,GUVI,TIMED,CDAWEB,ack_CDAWEB,1,,TIMED__GUVI,TIMED,GUVI,Global UltraViolet Imager,TIMED,GUVI,remote
TIMED__SABER,CDAWEB,crdp,SABER,TIMED,CDAWEB,ack_CDAWEB,1,,TIMED__SABER,TIMED,SABER,Sounding of the Atmosphere using Broadband Emission Radiometry,TIMED,SABER,remote
TIMED__SEE,CDAWEB,crdp,SEE,TIMED,CDAWEB,ack_CDAWEB,1,,TIMED__SEE,TIMED,SEE,Solar EUV Experiment,TIMED,SEE,remote
TIMED__TIDI,CDAWEB,crdp,TIDI,TIMED,CDAWEB,ack_CDAWEB,1,,TIMED__TIDI,TIMED,TIDI,TIDI,TIMED,TIDI,remote
ULYSSES__EPAC,CDAWEB,crdp,EPA,Ulysses,CDAWEB,ack_CDAWEB,1,,ULYSSES__EPA,ULYSSES,EPA,Energetic Particle Composition Experiment,Ulysses,EPAC,in-situ
ULYSSES__GRB,CDAWEB,crdp,GRB,Ulysses,CDAWEB,ack_CDAWEB,1,,ULYSSES__GRB,ULYSSES,GRB,Cosmic Gamma Rays and Solar X-Rays,Ulysses,GRB,remote
ULYSSES__SWICS,CDAWEB,crdp,SWI,Ulysses,CDAWEB,ack_CDAWEB,1,,ULYSSES__SWI,ULYSSES,SWI,Solar Wind Ion Composition Spectrometer,Ulysses,SWICS,in-situ
ULYSSES__VHM_FGM,CDAWEB,crdp,VHM,Ulysses,CDAWEB,ack_CDAWEB,1,,ULYSSES__VHM,ULYSSES,VHM,Vector Helium Magnetometer,Ulysses,VHM/FGM,in-situ
VOYAGER_1__MAG_PLASMA,CDAWEB,crdp,MAG_PLASMA,Voyager,CDAWEB,ack_CDAWEB,1,,VOYAGER1__MAG_PLASMA,VOYAGER1,MAG_PLASMA,"Merged Trajectory, Magnetic Field, and Plasma",,,
VOYAGER_2__MAG_PLASMA,CDAWEB,crdp,MAG_PLASMA,Voyager,CDAWEB,ack_CDAWEB,1,,VOYAGER2__MAG_PLASMA,VOYAGER2,MAG_PLASMA,"Merged Trajectory, Magnetic Field, and Plasma",,,
WIND__3DP,CDAWEB,crdp,3DP,Wind,CDAWEB,ack_CDAWEB,1,,WIND__3DP,WIND,3DP,3-D PLASMA ANALYZER,Wind,3DP,in-situ
WIND__EPACT,CDAWEB,crdp,EPA,Wind,CDAWEB,ack_CDAWEB,1,,WIND__EPA,WIND,EPA,Energetic Particle Composition Experiment,Wind,EPACT,in-situ
WIND__MFI,CDAWEB,crdp,MFI,Wind,CDAWEB,ack_CDAWEB,1,,WIND__MFI,WIND,MFI, Magnetic Field Data,Wind,MFI,in-situ
